ObjectID,LATITUDE,LONGITUDE,LOC_DOCK,NAV_UNIT_ID,NAV_UNIT_GUID,UNLOCODE,NAV_UNIT_NAME,FAC_TYPE,DATA_RECORD_STATUS,LOCATION_DESCRIPTION,STREET_ADDRESS,CITY_OR_TOWN,STATE,ZIPCODE,COUNTY_NAME,COUNTY_FIPS_CODE,CONGRESS,CONGRESS_FIPS,TOWS_LINK_NUM,TOWS_MILE,WTWY,WTWY_NAME,PORT,PORT_NAME,PSA,PSA_NAME,MILE,BANK,OPERATORS,OWNERS,PURPOSE,HIGHWAY_NOTE,RAILWAY_NOTE,COMMODITIES,CONSTRUCTION,MECHANICAL_HANDLING,REMARKS,VERTICAL_DATUM,DEPTH_MIN,DEPTH_MAX,BERTHING_LARGEST,BERTHING_TOTAL,DECK_HEIGHT_MIN,DECK_HEIGHT_MAX,PARENT_OR_CHILD,SERVICE_INITIATION_DATE,x,y
14122,55.242396,-160.553333,95440-200,02H2,2892,SDP,SQUAW HARBOR VILLAGE,Dock,Validated for TOWS,,,SAND POINT,AK,99661,Aleutians East,13,112,00,8185,0,4943,"Baralof Bay, AK",,,,,0,,,,,,,"Sulphur (Dry), Clay & Salt | Paper & Allied Products | Primary Non-Ferrous Metal Products;Fabricated Metal Prods. | Fish | All Manufactured Equipment, Machinery and Products",,,,,,,,,,,,01-JAN-1990,-160.553333,55.242396
14123,56.295626,-158.402222,95410-200,026Y,2548,KCL,CHIGNIK VILLAGE,Dock,Validated for TOWS,,,CHIGNIK,AK,99564,Lake and Peninsula,164,112,00,8179,0,4940,"Chignik Bay, AK",,,,,0,,,,,,,"Units (Ferried Autos, Passengers, Railway Cars) | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Iron Ore and Iron & Steel Waste ",,,,,,,,,,,,01-JAN-1990,-158.402222,56.295626
14128,51.854164,-176.65279,96050-200,026F,2531,AXK,"ADAK VILLAGE PIERS 3, 5, AND FUEL",Dock,Validated for TOWS,,,ADAK,AK,99546,Aleutians West,16,116,00,8202,0,4951,"Adak Island, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Forest Products, Lumber, Logs, Woodchips | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Material | Sulphur (Dry), Clay & Salt | Paper & Allied Products | Bui",,,,,,,,,,,,01-JAN-1990,-176.65279,51.854164
14133,56.808042,-132.974624,93846-100,00UW,982,PSG,ANCHORAGE PETERSBURG HARBOR,Anchorage,Validated for TOWS,,,PETERSBURG,AK,99833,Wrangell-Petersburg,280,116,00,8036,0,4804,"Wrangell Narrows, AK",4826.00,"Petersburg, AK",,,0,,,,,,,,,,,,,,,,,,,01-JAN-1990,-132.974624,56.8080420000001
14402,57.055,-135.34888,94845-408,0U65,32577,SIT,"PETRO MARINE SERVICES, SITKA NORTH PLANT FLOATS",Dock,Validated for TOWS and Public,"Sitka Harbor, Sitka, approximately 0.6 mile north- west of O'Connell Bridge.",613 Katlian Street.,Sitka,AK,99835,Sitka,220,112,00,8050,0,4808,"Sitka Harbor, AK",4796.00,"Sitka Ports and Harbor Commission, AK",,,0,East,,"Current Owner and Operator: Harbor Enterprises, Inc., dba Petro Marine Services. Phone: 907/747-8460 FAX: 907-747-6647",Receipt of petroleum products; and fueling vessels; occasional mooring of cruise ships and excursion vessels.,"Via plant road, paved-and-unpaved, various widths; from Katlian Street, asphalt, 20 feet wide.",None.,Petroleum and Petroleum Products,Offshore steel float extending from one 50- by 10-foot float with 60- by 6-foot steel-gangway from shore at rear; two additional steel floats with similar gangways on northwest side.,None.,"Four 4-inch petroleum-product pipelines extend from wharf to twenty-one steel storage tanks at rear; total capacity 20,000 barrels.  One 4- and two 2-inch fuel-oil pipelines extend from tanks to metered pumps on floats.  A 1,000-foot, oil-spill containment boom with oil skimmers is available as required.",MLLW (Mean Lower Low Water),12,12,260,580,,,,01-JAN-1990,-135.34888,57.0550000000001
14403,59.227778,-135.43277,94963-103,0U97,32681,HNS,"CHILKAT CRUISES & TOURS, HAINES DOCK",Dock,Validated for TOWS and Public,"Westerly side of Chilkoot Inlet, Haines, at Portage Cove, approximately 800 feet south of Portage Street extended.",142 Beach Road.,Haines,AK,99827,Haines,100,112,00,8066,0,4864,"Haines Harbor, AK",5005.00,"Haines Borough, AK",,,0,West,Current Operator: Chilkat Cruises & Tours. Phone: 907-766-2100 FAX: 907-766-2101,Current Owner: Chilkat Portage Cove Development.,"Landing for excursion vessels """"Fairweather Express"""" and """"Fairweather Express II""""; fueling miscellaneous vessels.","Via Beach Road, asphalt, 24 feet wide.",None.,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases","One timber pile, timber-decked offshore platform with 
390- by 8-foot, timber-pipeline trestle approach from shore, with timber-decked steel float moored to steel piles with one 130- by 5-foot, covered gangway approach.",None.,"One 2-inch fuel-oil pipeline extends to float from one 10,000-barrel storage tank located at rear.  Paved parking lot and ticket office is located at rear.",MLLW (Mean Lower Low Water),20,30,125,250,24,24,,01-JAN-1990,-135.43277,59.2277780000001
14404,59.23389,-135.44028,94963-105,0R1K,28953,HNS,"CITY OF HAINES, PORTAGE COVE DOCK AND SEAPLANE HARBOR FLOATS",Dock,Validated for TOWS,,,HAINES,AK,99827,Haines,100,112,00,8066,0,4864,"Haines Harbor, AK",5005.00,"Haines Borough, AK",,,0,,,,,,,"Units (Ferried Autos, Passengers, Railway Cars) | Gasoline, Jet Fuel, Kerosene",,,,,,,,,,,Parent,01-JAN-1990,-135.44028,59.23389
14405,59.451389,-135.32333,94965-107,0YFG,37518,SGY,"ALASKA MARINE LINES, SKAGWAY TRANSFER BRIDGE",Dock,Validated for TOWS and Public,"Easterly shore of Taiya Inlet, Skagway, below mouth of Skagway River, at foot of State Street extended.",,Skagway,AK,99840,Skagway-Hoonah-Angoon,232,112,00,8068,0,4812,"Skagway Harbor, AK",4857.00,"Skagway, AK",,,0,East,Current Operator: Alaska Marine Lines. Phone: 907-983-2281 FAX: 907-983-3265,Current Owner: White Pass & Yukon Route and Alaska Marine Lines.,"Receipt and shipment of conventional, containerized, and roll-on/roll-off general cargo.","Via plant road, unpaved, various widths; from Main Street, asphalt, 24 feet wide.",None.,Unknown or Not Elsewhere Classified,"Steel pile, concrete-decked transfer bridge with one breasting dolphin in line with face on east side and three steel-breasting dolphins fronting adjacent Skagway Terminal Co., Ore Wharf (Ref. No. 189).","Stevedore equipment is available as required.  Open storage area serves two 45- and one 30-ton, diesel forklift trucks.",Approximately 2.5 acres of unpaved open storage area at rear includes eighteen outlets reserved for refrigerated cargo containers.,MLLW (Mean Lower Low Water),40,40,411,411,25,25,,18-FEB-2003,-135.32333,59.4513890000001
14450,57.05018,-135.33129,94845-203,0U56,32544,SIT,"CITY OF SITKA, CRESCENT HARBOR FLOATS",Dock,Validated for TOWS and Public,"Northerly shore of Crescent Bay, Sitka, at foot of Baranof Street extended, approximately 0.4 mile east of O'Connell Bridge.",,Sitka,AK,99835,Sitka,220,116,00,8050,0,4808,"Sitka Harbor, AK",4796.00,"Sitka Ports and Harbor Commission, AK",,,0,North,Current Operator: City of Sitka. Phone: 907/747-3439 FAX: 907-747-6278,Current Owner: State of Alaska and City of Sitka.,Mooring commercial vessels and recreational craft; landing for excursion vessels.,"Via Harbor Drive or Lincoln Street, dual lane, each asphalt, 24 feet wide.",None.,,"Timber pile, timber-decked offshore wharf at west side of harbor with seven parallel, foam-filled concrete-and- timber floats moored to timber piles extending from connecting 124- + 300- + 288- + 76- + 300- by 10-foot and 112- by 6-foot floats fronting north shore. (See Remarks.)",None.,"Small-Boat Harbor has berthing capacity for approximately four-hundred-and-thirteen vessels.  Float 3, 402- by 10-foot with 32-, 42-, and 50-foot stalls; Float 4, 
390- by 10-foot with 32-, 42-, and 75-foot stalls; 
Float 5, 318- by 8-foot with 31-foot stalls; Floatý6,  304- by 6-foot with 23-foot stalls; Float 7, 192- by 6-foot with 24-foot stalls; and connecting float with 17-foot stalls.  Two 50- by 6-foot gangway approaches extend to floats from wharf, with two similar gangway approaches to floats from timber-pier approaches on north side.  Wharf and one 236-foot lightering float is used for passenger-loading only, with 136- by 12-foot launch- ing ramp at southwest side of harbor.",MLLW (Mean Lower Low Water),24,24,75,16520,,,,01-JAN-1990,-135.33129,57.0501800000001
14451,57.048333,-135.34083,94845-401,0U5C,32550,SIT,"PETRO MARINE SERVICES, SITKA SOUTH PLANT WHARF AND FLOAT",Dock,Validated for TOWS and Public,"Northwest side of Sitka Harbor, Sitka, at O'Connell Bridge.",1 Lincoln Street.,Sitka,AK,99835,Sitka,220,112,00,8050,0,4808,"Sitka Harbor, AK",4796.00,"Sitka Ports and Harbor Commission, AK",,,0,East,,"Current Owner and Operator: Harbor Enterprises, Inc., dba Petro Marine Services. Phone: 907/747-3414 FAX: 907-747-6647",Receipt of petroleum products; and fueling vessels.,"Via driveway, asphalt, 20 feet wide; from Lincoln Street and Harbor Way, each asphalt, 24 feet wide.",None.,"Petroleum and Petroleum Products | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases","Timber pile, timber-decked offshore wharf with one con- crete, foam-filled float moored to steel piles with 40- by 5-foot gangway from shore. Wharf has one 60- by 18-foot approach.",One electric-hydraulic mast-and-boom derrick with 12-foot knuckle boom.,"Five 4- and one 3-inch petroleum-product pipelines extend from wharf to nine steel storage tanks located at rear; total capacity 20,000 barrels.  Five 2-inch fuel-oil lines extend to six fueling stations on wharf and to fifteen fueling stations on float.",MLLW (Mean Lower Low Water),9,30,150,300,25,25,,01-JAN-1990,-135.34083,57.0483330000001
14452,57.051111,-135.34444,94845-404,0U5F,32553,SIT,"SITKA SOUND SEAFOODS, SITKA WHARF",Dock,Validated for TOWS and Public,"Sitka Harbor, Sitka, approximately 1,400 feet northwest of O'Connell Bridge.",329 Katlian Street.,Sitka,AK,99835,Sitka,220,112,00,8050,0,4808,"Sitka Harbor, AK",4796.00,"Sitka Ports and Harbor Commission, AK",,,0,East,,"Current Owner and Operator: Sitka Sound Seafoods, a division of North Pacific Processors, Inc. Phone: 907/747-6662 FAX: 907-747-6268",Receipt of seafood; and mooring-and-icing fishing boats.,"Via driveway, unpaved, various widths; from Katlian Street, asphalt, 20 feet wide.",None.,"Sulphur (Dry), Clay & Salt | Paper & Allied Products | Primary Non-Ferrous Metal Products;Fabricated Metal Prods. | Fish | All Manufactured Equipment, Machinery and Products","Timber pile, timber-decked wharf with 115- by 20-foot concrete float on northeasterly side.","Six 3/4- to 1 1/4-ton, electric-hydraulic mast-and-boom derricks, each with 10- to 15-foot boom. Open storage area serves eight 1- to 2 1/2-ton, LP-gas and electric forklift trucks.","Seafood-processing plant and freezing plant are both located at rear, with ice plant having production capac- ity of 40 tons per day and storage for 100 tons.  Wharf serves one 10-inch gravity line used for icing fishing vessels; rate 20 tons per hour.",MLLW (Mean Lower Low Water),22,36,160,705,17,17,,01-JAN-1990,-135.34444,57.051111
14453,57.050278,-135.34055,94845-403,0U5E,32552,SIT,"CITY OF SITKA, ANB HARBOR FLOAT",Dock,Validated for TOWS and Public,"Sitka Harbor, Sitka, approximately 900 feet north- west of O'Connell Bridge.",,Sitka,AK,99835,Sitka,220,112,00,8050,0,4808,"Sitka Harbor, AK",4796.00,"Sitka Ports and Harbor Commission, AK",,,0,East,Current Operator: City of Sitka. Phone: 907/747-3439 FAX: 907-747-6278,Current Owner: State of Alaska.,Mooring commercial vessels and recreational craft.,"Via Katlian Street, unpaved, various widths; from Lincoln Street and Harbor Drive, dual lanes, each asphalt, 24 feet wide.",None.,,One T-shaped concrete-and-timber float with two parallel concrete-and-timber floats moored to timber-and-steel piles with one connecting 374- by 10-foot float at rear.  T-shaped float has one 50- by 6-foot covered gangway extending from 147- by 10-foot pier approach.,None.,"Float 4 (352- by 13-foot float) perpendicular to 
Float 2 serves as breakwater float, with connecting float providing 17-foot stalls at inner side. Two 100- by 22-foot; one 72- by 18-foot; and one 64- by 18-foot grids are approximately 400 feet northwest of floats.  Parking lot is located at rear.  ",MLLW (Mean Lower Low Water),30,30,50,1000,,,,01-JAN-1990,-135.34055,57.050278
14454,57.0525,-135.34583,94845-405,0U5G,32554,SIT,"FISHERMAN'S QUAY, SITKA WHARF",Dock,Validated for TOWS and Public,"Sitka Harbor, Sitka, approximately 0.4 mile northwest of O'Connell Bridge.",475A Katlian Street.,Sitka,AK,99835,Sitka,220,112,00,8050,0,4808,"Sitka Harbor, AK",4796.00,"Sitka Ports and Harbor Commission, AK",,,0,East,,"Current Owner and Operator: Fisherman's Quay, Inc. Phone: 907/747-8344",Receipt of seafood; and mooring fishing boats and recrea- tional craft.,"Via driveway, unpaved, various widths; from Katlian Street, asphalt, 20 feet wide.",None.,Fish,"Timber pile, timber-decked wharf.","Two 3/4-ton, electric mast-and-boom derricks, each with 15-foot boom.","Berthing space for recreational craft is available on southeastern side of wharf, at three parallel timber floats providing 360 feet of total space.  At time of survey (2002), plans called for installation of addi- tional floats.",MLLW (Mean Lower Low Water),20,20,110,555,17,17,,01-JAN-1990,-135.34583,57.0525000000001
14455,57.053889,-135.34722,94845-406,0U5H,32555,SIT,"SEAFOOD PRODUCERS COOPERATIVE, SITKA WHARF",Dock,Validated for TOWS and Public,"Sitka Harbor, Sitka, approximately 0.5 mile north- west of O'Connell Bridge.",507 Katlian Street.,Sitka,AK,99835,Sitka,220,112,00,8050,0,4808,"Sitka Harbor, AK",4796.00,"Sitka Ports and Harbor Commission, AK",,,0,East,,Current Owner and Operator: Seafood Producers Cooperative. Phone: 907/747-5811 FAX: 907-747-3206,Receipt and occasional shipment of seafood; icing fishing vessels.,"Via driveway, unpaved, various widths; from Katlian Street, asphalt, 20 feet wide.",None.,Fish,"Steel-pipe-pile, concrete-decked wharf fronted by timber- fender system.","Five 1 1/2- and one 3/4-ton mast-and-boom derricks with 10-foot outboard reach.  Open storage area serves seven 
1- to 3-ton, gasoline-and-electric forklift trucks.","Face of wharf is in line and contiguous with adjacent City of Sitka Dock (Ref. No. 207) on northeast side providing for continuous berthing space.  Ice plant has production capacity of 100 tons per day; storage for 
240 tons.  Two 10-inch auger and gravity hoses are used for icing fishing vessels.  Seafood-processing plant is located at rear.",MLLW (Mean Lower Low Water),16,16,278,278,20,20,,01-JAN-1990,-135.34722,57.053889
14456,57.116389,-135.39083,94845-410,0ZKU,38822,SIT,"ALASKA MARINE LINES, SITKA WHARF",Dock,Validated for TOWS and Public,"Sitka Sound, Sitka, approximately 4.8 miles north of O'Connell Bridge, on north side of Halibut Point.",1517 Sawmill Creek Road.,Sitka,AK,99835,Sitka,220,112,00,8050,0,4808,"Sitka Harbor, AK",,,,,0,East,,Current Owner and Operator: Alaska Marine Lines. Phone: 907-747-8647 FAX: 907-747-6433,Receipt and shipment of containerized and roll-on/roll-off general cargo.,"Via driveway, unpaved, various widths; from Halibut Point Road, asphalt, 24 feet wide.",None.,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Pitches, Coke, Asphalt, Naptha and Solvents | Petroleum Products NEC | Fertilizers | Other Chemicals and Related Products | Forest Products, Lumber, Logs,","Steel-sheet-pile bulkhead with solid fill with two steel- pile breasting dolphins on each side in line with face, with two 60- by 10-foot, steel portable ramps. ","One 45- and one 35-ton, diesel forklift trucks serve open storage area.",Unpaved open-storage area at rear has capacity for approxi- mately five-hundred containers.,MLLW (Mean Lower Low Water),10,10,140,140,12,12,,01-JAN-1990,-135.39083,57.116389
14457,53.697871,-132.188889,99970-001,0QVW,28760,,PORT CLEMENTS BC,Dock,Validated for TOWS,,,,AK,,Prince of Wales-Outer Ketchikan,201,112,00,8387,0,4989,"Port Clements, BC",,,,,0,,,,,,,,,,,,,,,,,,,19-MAY-1998,-132.188889,53.6978710000001
14788,61.162406,-151.073212,95296-200,036V,3701,NIK,"BELUGA, ALASKA",,Validated for TOWS,,,BELUGA,AK,99635,Kenai Peninsula,122,116,00,8143,0,4853,"Beluga, AK",4853.00,"Beluga, AK",,,0,,,,,,,,,,,,,,,,,,,01-JAN-1990,-151.073212,61.162406
14789,58.035669,-152.734091,95300-100,036W,3702,ORI,ANCHORAGE,Anchorage,Validated for TOWS,,,PORT LIONS,AK,99550,Kodiak Island,150,112,00,8151,0,4932,"Afognak Bay, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",,,,,,,,,,,,01-JAN-1990,-152.734091,58.035669
14790,61.227778,-149.90166,95290-390,0UVZ,33387,ANC,"NORTHLAND SERVICES, ANCHORAGE DOCK",Dock,Validated for TOWS and Public,"Easterly shore of Knik Arm, Anchorage, at north side of Ship Creek.",660 Western Drive.,Anchorage,AK,99501,Anchorage,20,112,00,8148,0,4820,"Port of Alaska, AK",4820.00,"Port of Alaska, AK",,,0,R,"Current Operator: Northland Services, Inc. Phone: 907-276-4030 FAX: 907/276-8733",Current Owner: Swan Bay Holdings.,Receipt and shipment of containerized general cargo by barge.,"Via Western Drive, unpaved, various widths; from Ocean Dock Road, asphalt, 24 feet wide.",None.,Unknown or Not Elsewhere Classified,Steel-sheet-pile cellular bulkhead with solid fill with one steel-pile breasting dolphin on north and two similar breasting dolphins on south side in line with face.,"One 230- and one 150-ton, diesel crawler cranes with 
150- and 110-foot booms, respectively.  Open storage area serves one 45-, two 30-, one 28-, one 15-, one 7-, and two 5-ton forklift trucks.",Approximately 4 acres of unpaved open storage area at rear has capacity for stacking containers up to 5-high. Wharf has one 70- by 21-foot steel-ramp approach.,MLLW (Mean Lower Low Water),0,8,400,400,50,50,,01-JAN-1990,-149.90166,61.2277780000001
14791,57.920609,-152.499863,95300-400,0371,3707,ORI,OUZINKIE (UZINKIE) VILLAGE FERRY,Dock,Validated for TOWS,,,PORT LIONS,AK,99550,Kodiak Island,150,116,00,8151,0,4932,"Afognak Bay, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",,,,,,,,,,,,01-JAN-1990,-152.499863,57.9206090000001
14792,57.784866,-152.420007,95351-100,0377,3713,KOZ,KODIAK ANCHORAGE,Anchorage,Validated for TOWS,,,OUZINKIE,AK,99644,Kodiak Island,150,116,00,8159,0,4934,"Kodiak Harbor, AK",4906.00,"Kodiak, AK",,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Sulphur (Dry), Clay & Salt | Paper & Allied Products | Primary Non-Ferrous Metal Products;Fabricated Metal Prods. | Fish | All Manufactured Equipment, Machinery and",,,,,,,,,,,,01-JAN-1990,-152.420007,57.7848660000001
14793,58.005174,-152.764531,95300-300,036Y,3704,ORI,AFOGNAK VILLAGE (ALENEVA),Dock,Validated for TOWS,,,PORT LIONS,AK,99550,Kodiak Island,150,112,00,8151,0,4932,"Afognak Bay, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Products NEC | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Sulphur (Dry), Clay & Salt | Building Cement & Concrete; ",,,,,,,,,,,,01-JAN-1990,-152.764531,58.0051740000001
14794,58.035669,-152.734091,95300-350,0370,3706,ORI,KITOI BAY,Dock,Validated for TOWS,,,PORT LIONS,AK,99550,Kodiak Island,150,112,00,8151,0,4932,"Afognak Bay, AK",,,,,0,,,,,,,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",,,,,,,,,,,,01-JAN-1990,-152.734091,58.035669
14795,62.904836,-160.061714,97643-171,0201,2313,KAL,GRAYLING VILLAGE,Dock,Validated for TOWS,,,KALTAG,AK,99748,Yukon-Koyukuk,290,116,00,8897,347,4860,"Yukon River, AK",,,,,347,,,,,,,"Petroleum Products NEC | All Manufactured Equipment, Machinery and Products",,,,,,,,,,,,01-JAN-1990,-160.061714,62.904836
14796,64.328616,-158.722805,97643-181,0202,2314,KYU,KALTAG VILLAGE,Dock,Validated for TOWS,,,KOYUKUK,AK,99754,Yukon-Koyukuk,290,116,00,8897,466,4860,"Yukon River, AK",,,,,466,,,,,,,"Petroleum Products NEC | All Manufactured Equipment, Machinery and Products",,,,,,,,,,,,01-JAN-1990,-158.722805,64.3286160000001
14797,64.71854,-158.101327,97643-191,0203,2315,NUL,NULATO VILLAGE,Dock,Validated for TOWS,,,NULATO,AK,99765,Yukon-Koyukuk,290,116,00,8897,502,4860,"Yukon River, AK",,,,,502,,,,,,,"Petroleum Products NEC | All Manufactured Equipment, Machinery and Products",,,,,,,,,,,,01-JAN-1990,-158.101327,64.7185400000001
14798,64.732355,-156.93607,97643-211,0206,2318,GAL,GALENA VILLAGE,Dock,Validated for TOWS,,,GALENA,AK,99741,Yukon-Koyukuk,290,116,00,8246,565,4860,"Yukon River, AK",,,,,565,,,,,,,"Petroleum Products NEC | All Manufactured Equipment, Machinery and Products",,,,,,,,,,,,01-JAN-1990,-156.93607,64.732355
14799,59.752992,-154.819308,96375-883,02F3,2825,,ILIAMNA VILLAGE,,Validated for TOWS,,,PORT ALSWORTH,AK,99653,Lake and Peninsula,164,113,00,8222,109,4880,"Kvichak River, AK",,,,,109,,,,,,,,,,,,,,,,,,,01-JAN-1990,-154.819308,59.7529920000001
14886,55.911388,-159.145888,95420-200,0271,2551,KPV,PERRYSVILLE VILLAGE,Dock,Validated for TOWS,,,PERRYVILLE,AK,99648,Lake and Peninsula,164,116,00,8180,0,4941,"Ivanof Bay, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Products NEC | Primary Non-Ferrous Metal Products;Fabricated Metal Prods. | Fish",,,,,,,,,,,,01-JAN-1990,-159.145888,55.911388
14887,55.77726,-159.460393,95420-300,0272,2552,KPV,IVANOF VILLAGE,Dock,Validated for TOWS,,,PERRYVILLE,AK,99648,Lake and Peninsula,164,112,00,8180,0,4941,"Ivanof Bay, AK",,,,,0,,,,,,,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",,,,,,,,,,,,01-JAN-1990,-159.460393,55.7772600000001
14888,54.480804,-162.814697,95500-200,025W,2512,KVC,"SANAK, AK",Dock,Validated for TOWS,,,KING COVE,AK,99612,Aleutians East,13,112,00,8191,0,4580,"Sanak Islands, AK",,,,,0,,,,,,,,,,,,,,,,,,,01-JAN-1990,-162.814697,54.480804
14889,55.433377,-160.660419,95440-300,02H3,2893,KPV,UNGA STRAITS,,Validated for TOWS,,,PERRYVILLE,AK,99648,Aleutians East,13,116,00,8185,0,4943,"Baralof Bay, AK",,,,,0,,,,,,,"Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",,,,,,,,,,,,01-JAN-1990,-160.660419,55.4333770000001
14890,55.055798,-162.323,95450-200,0UZF,33505,KVC,KING COVE DEEP WATER CITY DOCK,Dock,Validated for TOWS and Public,"Northwesterly shore of King Cove, below entrance to Small-Boat Harbor.",,King Cove,AK,99612,Aleutians East,13,116,00,8187,0,4944,"King Cove Harbor, AK",5001.00,"King Cove, AK",,,0,,"Current Operator: City of King Cove; and State of Alaska, Department of Transportation and Public Facilities. Phone: 907-497-2237 FAX: 907/497-2649",Current Owner: City of King Cove.,Receipt and shipment of conventional-and-containerized general cargo; receipt of fuel oil for plant consumption; and landing for passenger-and-vehicular ferry.,"Via Front Street, unpaved, 24 feet wide.",None.,"Units (Ferried Autos, Passengers, Railway Cars) | Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Sulphur (Dry), Clay & Salt | Other Non-Metal. Min. | Paper & Allied Products | Primary Non-Ferrous Metal Products;","Steel-sheet-pile, cellular offshore wharf with solid fill, with one rubber-cushioned steel-and-timber breast- ing dolphin on each side in line with face and one similar mooring dolphin on each side at rear of face, all connected by steel catwalks. Wharf, fronted by rubber- fender system, has one 660- by 30-foot approach.",None.,"City of King Cove:  One 6-inch fuel-oil pipeline extends from wharf to five steel storage tanks; total capacity 2,400 barrels. 
State of Alaska:  Operates landing for passenger-and- vehicular ferry transversing between Cold Bay and Sand Point.  Harbormaster's office is located at rear.",MLLW (Mean Lower Low Water),30,30,330,330,16,16,,01-JAN-1990,-162.323,55.055798
14891,55.12745,-162.157646,95460-200,025V,2511,KVC,BELKOFSKI VILLAGE,Dock,Validated for TOWS,,,KING COVE,AK,99612,Aleutians East,13,112,00,8312,0,4938,"Belkofski Bay, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene",,,,,,,,,,,,01-JAN-1990,-162.157646,55.1274500000001
14892,52.832557,-186.775868,96030-300,0260,2516,KPV,MASSACRE BAY,Anchorage,Validated for TOWS,,,PERRYVILLE,AK,99648,Aleutians West,16,116,00,8208,0,4957,"Mitrofania Bay, AK",,,,,0,,,,,,,,,,,,,,,,,,,01-JAN-1990,-186.775868,52.8325570000001
14893,55.919537,-158.800395,96030-400,0261,2517,KPV,NAVY AND COAST GUARD BASE,Dock,Validated for TOWS,,,PERRYVILLE,AK,99648,Lake and Peninsula,164,112,00,8208,0,4957,"Mitrofania Bay, AK",,,,,0,,,,,,,,,,,,,,,,,,,01-JAN-1990,-158.800395,55.919537
14894,52.748385,174.080249,96035-200,0264,2520,,SHEMYA VILLAGE,Dock,Validated for TOWS,,,,AK,,Aleutians West,16,112,00,8207,0,4956,"Shemya Island, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | All Manufactured Equipment, Machinery and Products",,,,,,,,,,,,01-JAN-1990,174.080249,52.748385
14895,52.748385,174.080249,96035-300,0265,2521,,SHEMYA AIR FORCE BASE,Dock,Validated for TOWS,,,,AK,,Aleutians West,16,112,00,8207,0,4956,"Shemya Island, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",,,,,,,,,,,,01-JAN-1990,174.080249,52.748385
14896,51.566929,178.868889,96040-200,0267,2523,,AMCHITKA VILLAGE,Dock,Validated for TOWS,,,,AK,,Aleutians West,16,112,00,8204,0,4954,"Amchitka Island, AK",,,,,0,,,,,,,,,,,,,,,,,,,01-JAN-1990,178.868889,51.5669290000001
14897,57.11732,-170.285583,96045-300,026B,2527,,LUKANIN BAY,,Validated for TOWS,,,SAINT PAUL ISLAND,AK,99660,Aleutians West,16,112,00,8309,0,4952,"St. Paul Island, Pribilof Island, AK",,,,,0,,,,,,,,,,,,,,,,,,,01-JAN-1990,-170.285583,57.1173200000001
14898,52.24873,-174.502395,96060-200,026H,2533,AKB,ATKA VILLAGE,Dock,Validated for TOWS,,,ATKA,AK,99547,Aleutians West,16,112,00,8200,0,4949,"Atka Island, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Sulphur (Dry), Clay & Salt | Paper & Allied Products | Primary Non-Ferrous Metal Products;Fabricated Metal Prods. | Fish | All Manufactured Equipment, Machinery and",,,,,,,,,,,,01-JAN-1990,-174.502395,52.2487300000001
14899,52.232015,-174.17267,96060-300,026J,2534,AKB,NAZAN BAY,Anchorage,Validated for TOWS,,,ATKA,AK,99547,Aleutians West,16,116,00,8200,0,4949,"Atka Island, AK",,,,,0,,,,,,,Fish,,,,,,,,,,,,01-JAN-1990,-174.17267,52.232015
